,Company ID,Stock Code,ISIN
0,1,MB,PHY5764D1091
1,2,KEEPR,PHY4630V1045
2,3,MAH,PHY602711061
3,4,IPM,PHY4256D1073
4,5,Stock Code not found,ISIN not found
5,6,TEL,PHY7072Q1032
6,7,PNC,PHY7028M1072
7,8,TFC,PHY7139G1068
8,9,BCOR,PHY0860R1024
9,10,Stock Code not found,ISIN not found
10,11,Stock Code not found,ISIN not found
11,12,LTG,PHY5342M1000
12,13,BRN,PHY000221069
13,14,ANS,PHY8068W1129
14,15,ABSP,PHY000271056
15,16,AEV,PHY0001Z1040
16,17,Stock Code not found,ISIN not found
17,18,Stock Code not found,ISIN not found
18,19,AB,PHY044931210
19,20,PAL,PHY6687L1036
20,21,BEL,PHY0775S1043
21,22,UNH,PH0000058851
22,23,Stock Code not found,ISIN not found
23,24,MJIC,PHY6065G1068
24,25,FEU,PHY248161036
25,26,ALLHC,PHY0490Q1023
26,27,Stock Code not found,ISIN not found
27,28,VITA,PHY937931186
28,29,Stock Code not found,ISIN not found
29,30,PRIM,PHY7084E1065
30,31,DHI,PHY0775G1005
31,32,SECB,PHY7571C1000
32,33,AR,PHY0200M1028
33,34,AT,PHY0434M1265
34,35,Stock Code not found,ISIN not found
35,36,DITO,PHY3004J1017
36,37,LODE,PHY5342J1310
37,38,ARA,PHY0203L1190
38,39,CDC,PHY122051295
39,40,RLT,PHY6956R1380
40,41,SLI,PHY8152X1091
41,42,Stock Code not found,ISIN not found
42,43,OPM,PHY654111111
43,44,Stock Code not found,ISIN not found
44,45,OV,PHY8791A1483
45,46,ECVC,PH0000059099
46,47,Stock Code not found,ISIN not found
47,48,ACE,PHY2063J1017
48,49,BLOOM,PHY0927M1046
49,50,COSCO,PHY1765W1054
50,51,Stock Code not found,ISIN not found
51,52,APO,PHY0136Q1288
52,53,ATI,PHY0367R1006
53,54,RCI,PHY7331W1072
54,55,AAA,PHY030431175
55,56,ATN,PHY044891869
56,57,AC,PHY0486V1154
57,58,Stock Code not found,ISIN not found
58,59,Stock Code not found,ISIN not found
59,60,BSC,PHY0718K1017
60,61,LPZ,PHY5347P1085
61,62,BH,PHY0885Q1059
62,63,BHI,PHY095231122
63,64,ROX,PHY733251052
64,65,V,PHY935661009
65,66,BKR,PHY096AT1065
66,67,CYBR,PHY185371036
67,68,DIZ,PHY207841156
68,69,GLO,PHY272571498
69,70,ECP,PHY2235X1459
70,71,EEI,PHY2249U1035
71,72,Stock Code not found,ISIN not found
72,73,SUN,PHY831501051
73,74,Stock Code not found,ISIN not found
74,75,FDC,PHY247771496
75,76,PTT,PH0000059107
76,77,RFM,PHY727881542
77,78,SLF,CA8667961053
78,79,VVT,PHY9379Y1020
79,80,FYN,PHY2493B1080
80,81,FAF,PHY2495T1070
81,82,HI,PHY3724Q1041
82,83,ICT,PHY411571011
83,84,INFRA,PHY6908B1080
84,85,IPO,PHY4176Q1398
85,86,JFC,PHY4466S1007
86,87,KPH,PHY4737K1008
87,88,KEP,PHY4738E1039
88,89,ZHI,PHY9890F1031
89,90,WIN,PHY9534C1028
90,91,Stock Code not found,ISIN not found
91,92,Stock Code not found,ISIN not found
92,93,Stock Code not found,ISIN not found
93,94,GSMI,PHY2709M1046
94,95,Stock Code not found,ISIN not found
95,96,PLUS,PHY525731394
96,97,PHC,PHY6896D1165
97,98,LC,PH5267322015
98,99,Stock Code not found,ISIN not found
99,100,MVC,PHY5362Y1092
100,101,Stock Code not found,ISIN not found
101,102,MJC,PHY6131D1038
102,103,NI,PHY6350C1090
103,104,PMPC,PHY666511035
104,105,MG,PHY6050E1166
105,106,MAC,PHY5369R1078
106,107,PHN,PHY7137Q1068
107,108,BC,PHY078321353
108,109,PA,PHY6653Y1056
109,110,Stock Code not found,ISIN not found
110,111,Stock Code not found,ISIN not found
111,112,SMPH,PHY8076N1120
112,113,Stock Code not found,ISIN not found
113,114,ABS,PHY0006V1080
114,115,LSC,PHY5345Q1086
115,116,Stock Code not found,ISIN not found
116,117,MBC,PHY5906Q1095
117,118,MER,PHY5764J1483
118,119,MA,PHY5764P1022
119,120,MFC,CA56501R1064
120,121,ACR,PHY0093E1002
121,122,WEB,PHY7134C1679
122,123,VMC,PHY936601350
123,124,URC,PHY9297P1004
124,125,Stock Code not found,ISIN not found
125,126,MED,PHY5943H1125
126,127,MEG,PHY594811127
127,128,MBT,PHY6028G1361
128,129,PORT,PHY6395D1047
129,130,Stock Code not found,ISIN not found
130,131,MRC,PH0000057705
131,132,GREEN,PHY2886E1157
132,133,Stock Code not found,ISIN not found
133,134,JAS,PHY4235K1070
134,135,MAXS,PHY5906K1026
135,136,PCOR,PHY6885F1067
136,137,PX,PHY689911352
137,138,PHES,PHY6903J1145
138,139,PNB,PHY7027H1583
139,140,Stock Code not found,ISIN not found
140,141,PRC,PHY7078S1034
141,142,PSB,PHY6954H1160
142,143,SEVN,PHY6955M1063
143,144,PTC,PHY6965Q1059
144,145,MACAY,PHY5364E1011
145,146,Stock Code not found,ISIN not found
146,147,STR,PHY9390P1067
147,148,PHA,PHY7092E1065
148,149,Stock Code not found,ISIN not found
149,150,PPC,PHY7115M1274
150,151,FB,PHY7510J1668
151,152,Stock Code not found,ISIN not found
152,153,REG,PHY7243J1290
153,154,SMC,PHY751061151
154,155,Stock Code not found,ISIN not found
155,156,SPM,PHY7546H1353
156,157,SCC,PHY7628G1124
157,158,Stock Code not found,ISIN not found
158,159,Stock Code not found,ISIN not found
159,160,SGI,PHY8070V1027
160,161,SOC,PHY8076K1008
161,162,Stock Code not found,ISIN not found
162,163,T,PHY8846P1085
163,164,STN,PHY8169J1017
164,165,SFI,PHY8321K1035
165,166,SGP,PHY8321B1036
166,167,UBP,PHY9091H1069
167,168,UPM,PHY9246Y1112
168,169,Stock Code not found,ISIN not found
169,170,Stock Code not found,ISIN not found
170,171,Stock Code not found,ISIN not found
171,172,ALCO,PHY0206K1008
172,173,WPI,PHY953131059
173,174,ABA,PHY0011J1089
174,175,MARC,PHY6131Y1157
175,176,ABG,PHY030541064
176,177,APC,PHY0163E1213
177,178,APX,PHY017801408
